x_m,y_m
3.037109374999999879e-03,1.500092205560452606e-02
3.040515622415533321e-03,1.500976562500000097e-02
3.048812760853633272e-03,1.502929687500000056e-02
3.056640624999999896e-03,1.504450855479602840e-02
3.058968247877671097e-03,1.504882812500000014e-02
3.070137860441102609e-03,1.506835937499999972e-02
3.076171874999999913e-03,1.507746713984671125e-02
3.083268458510175260e-03,1.508789062500000104e-02
3.095703124999999497e-03,1.510474246899483168e-02
3.097809800807038716e-03,1.510742187499999889e-02
3.113918535564191761e-03,1.512695312500000021e-02
3.115234374999999948e-03,1.512841994074902094e-02
3.132003296295605196e-03,1.514648437499999979e-02
3.134765624999999965e-03,1.514928509713424007e-02
3.152114439755030698e-03,1.516601562500000111e-02
3.154296874999999983e-03,1.516804041113920323e-02
3.173828125000000000e-03,1.518503066818907912e-02
3.174440119834828419e-03,1.518554687500000069e-02
3.193359375000000017e-03,1.520063665655801977e-02
3.199120382852232731e-03,1.520507812500000028e-02
3.212890625000000035e-03,1.521527273691925322e-02
3.226189632942038591e-03,1.522460937499999986e-02
3.232421875000000052e-03,1.522895687013296404e-02
3.251953125000000069e-03,1.524138495637454224e-02
3.256283213893315393e-03,1.524414062499999944e-02
3.271484375000000087e-03,1.525341827027986916e-02
3.289321560297823761e-03,1.526367187500000076e-02
3.291015625000000104e-03,1.526467612633563946e-02
3.310546875000000121e-03,1.527515998193002336e-02
3.325996760462040461e-03,1.528320312500000035e-02
3.330078125000000139e-03,1.528538131489157528e-02
3.349609375000000156e-03,1.529475397236643164e-02
3.366601171380806130e-03,1.530273437499999993e-02
3.369140625000000173e-03,1.530397349720377317e-02
3.388671875000000191e-03,1.531257236497651775e-02
3.408203125000000208e-03,1.532073758125822305e-02
3.411765773952398027e-03,1.532226562499999951e-02
3.427734375000000659e-03,1.532887627094847022e-02
3.447265625000000677e-03,1.533618504965189935e-02
3.461995339346192035e-03,1.534179687500000083e-02
3.466796875000000260e-03,1.534368516019727832e-02
3.486328125000000278e-03,1.535060660999272748e-02
3.505859374999999428e-03,1.535708415473408667e-02
3.518293295535795083e-03,1.536132812500000042e-02
3.525390624999999879e-03,1.536380261878404242e-02
3.544921874999999896e-03,1.536993489572868049e-02
3.564453124999999913e-03,1.537567705813553363e-02
3.581635034336008976e-03,1.538085937500000000e-02
3.583984374999999931e-03,1.538160279989668998e-02
3.603515624999999948e-03,1.538725367524878922e-02
3.623046874999999965e-03,1.539239090244652955e-02
3.642578124999999983e-03,1.539744777145000271e-02
3.653597355463382868e-03,1.540039062499999958e-02
3.662109375000000000e-03,1.540270571733739526e-02
3.681640625000000017e-03,1.540752513829541509e-02
3.701171874999999601e-03,1.541198542888904365e-02
3.720703125000000052e-03,1.541637515737054841e-02
3.736018338979350470e-03,1.541992187500000264e-02
3.740234375000000069e-03,1.542093735926693479e-02
3.759765625000000087e-03,1.542526675283803494e-02
3.779296875000000104e-03,1.542921769447690335e-02
3.798828125000000121e-03,1.543299478747030794e-02
3.818359375000000139e-03,1.543677138063509653e-02
3.831867143748133708e-03,1.543945312500000049e-02
3.837890625000000156e-03,1.544068765104067084e-02
3.857421875000000173e-03,1.544438196851216812e-02
3.876953125000000191e-03,1.544777107609471289e-02
3.896484375000000208e-03,1.545098644118107246e-02
3.916015624999999792e-03,1.545413925905596113e-02
3.935546875000000243e-03,1.545732513326810581e-02
3.945537728612471401e-03,1.545898437500000007e-02
3.955078124999999827e-03,1.546060052579606436e-02
3.974609375000001145e-03,1.546365794061065058e-02
3.994140624999999861e-03,1.546648339162106159e-02
4.013671875000000312e-03,1.546915518982948205e-02
4.033203124999999896e-03,1.547173953483246996e-02
4.052734375000000347e-03,1.547429280703895883e-02
4.072265624999999931e-03,1.547686334614256989e-02
